gen,fitness
0,561
1,561
2,562
3,574
4,574
5,574
6,575
7,579
8,581
9,583
10,586
11,591
12,591
13,595
14,596
15,600
16,600
17,605
18,608
19,610
20,610
21,613
22,614
23,615
24,615
25,617
26,623
27,623
28,623
29,632
30,632
31,641
32,641
33,641
34,641
35,641
36,641
37,645
38,646
39,649
40,651
41,651
42,653
43,656
44,656
45,656
46,659
47,662
48,662
49,666
50,667
51,667
52,676
53,679
54,679
55,680
56,680
57,680
58,682
59,683
60,686
61,689
62,689
63,696
64,701
65,701
66,702
67,702
68,704
69,704
70,704
71,706
72,711
73,711
74,711
75,711
76,716
77,716
78,717
79,717
80,717
81,717
82,719
83,721
84,724
85,726
86,727
87,727
88,727
89,728
90,739
91,739
92,739
93,739
94,739
95,739
96,740
97,744
98,744
99,749
100,749
101,750
102,751
103,751
104,755
105,758
106,759
107,760
108,761
109,761
110,762
111,764
112,766
113,766
114,767
115,768
116,771
117,771
118,772
119,772
120,773
121,773
122,775
123,776
124,778
125,778
126,781
127,782
128,783
129,786
130,786
131,787
132,790
133,792
134,792
135,793
136,795
137,799
138,799
139,802
140,802
141,802
142,802
143,802
144,802
145,805
146,805
147,806
148,810
149,810
150,810
151,814
152,818
153,818
154,821
155,821
156,822
157,822
158,823
159,823
160,824
161,826
162,826
163,826
164,828
165,828
166,828
167,829
168,832
169,832
170,838
171,838
172,840
173,841
174,841
175,841
176,842
177,842
178,844
179,844
180,844
181,845
182,845
183,846
184,847
185,849
186,849
187,850
188,854
189,854
190,856
191,856
192,856
193,859
194,859
195,859
196,861
197,861
198,863
199,863
